Luftemissionen: Deutschland, Jahre, Luftemissionsart,;;;;;;;;;;;;;;;;;;;;;
Luftemissionen (t);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
1;Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL;16703713;17567542;15641586;15150117;14932922;13958951;14076876;14151801;13403956;13248917;13009144;13256113;12969285;13931300;14392956;14700217;15023908;16984424;16535332;16886836
2;Forstwirtschaftl. Erzeugnisse und Dienstleistungen;490989;461053;464319;471989;458321;520390;428805;427779;466238;479897;524196;548364;650068;535322;433579;455407;475917;382354;390630;398245
3;Fische und Fischereierz., Aquakulturerz., DL;54261;53700;51894;51826;52134;52679;52293;49917;50207;51830;51933;51787;53158;53675;55986;54941;51171;48096;48090;50980
4;Kohle;2922596;2598528;2782513;2512069;1823904;1653782;1535477;1772582;1801551;1877322;1765736;1746176;1951650;1847758;1618122;1538138;1469714;1526954;1581113;1559385
5;Erdöl und Erdgas;2936879;3346457;3201014;3188055;3265320;3024358;2974256;2839641;2328677;2254478;2169385;1997718;1906272;1821552;1739270;1705268;1768761;1715356;1752138;1424074
6;Erze, Steine und Erden, sonstige Bergbauerz., DL;1747172;1395596;1160095;1160940;1236175;1100557;1194946;1113362;929619;1628047;1012679;907216;901577;1133661;874753;859307;758642;669627;776194;726178
7;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;11382259;11653962;11153523;11131100;10926454;10600458;10892742;10418809;10269552;10058201;9509737;9996507;9776307;9126103;9081549;9793326;9063243;9114665;8917427;8812521
8;Textilien, Bekleidung, Leder und Lederwaren;2423522;2396755;2235943;2094356;1865226;1772435;1727325;1522740;1739102;1491048;1518177;1287343;1270432;1063117;893320;875642;818014;790277;826373;760174
9;Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.;5497788;5448669;5502123;5627437;5815419;1773550;1764194;1512762;3514812;4345776;4171623;3936349;4389024;4590871;4973923;5617207;6613546;4027420;4603767;6194021
10;Papier, Pappe und Waren daraus;11198845;10943010;11150814;10586489;11325980;8609206;8351925;8209650;8636282;7954606;14803913;9879246;11091642;10678918;9471927;10661068;9275419;8856422;9141528;8903894
11;DL d.Vervielf. v. besp.Ton-, Bild- u. Datenträgern;650741;700365;668495;697197;733510;807570;871968;860745;786814;795765;778726;969178;949456;1009553;882324;908337;812851;850921;864815;804987
12;Kokerei- und Mineralölerzeugnisse;24672289;24469410;23092637;23510649;21564877;23050034;22416951;22436436;22384849;23386742;26071036;25039300;24198360;24116283;23354957;22819553;22563027;22252514;22370083;21642160
13;Chemische Erzeugnisse;27206429;27230850;27105387;22508346;23447922;25638730;25041342;26242584;24095314;25154883;21499819;23877003;25517230;26766579;23762052;27800476;28992880;27576538;26892417;24415584
14;Pharmazeutische Erzeugnisse;2129896;2193605;2151318;2741186;2616420;2623932;2737564;1890563;1080603;825328;706459;1073259;1010270;1152912;815198;777617;960774;1053373;1017078;849608
15;Gummi- und Kunststoffwaren;2280125;2282018;2106923;2137225;2113099;2135066;2117939;1984576;2148579;2086639;2092215;2117154;2005175;2109561;1931343;2344362;1906967;1882309;1917239;1849248
16;Glas u. Glaswaren, Keramik, verarb. Steine u.Erden;46051179;44035001;44823550;44371729;44042220;43542578;39580207;38052971;39435665;40205245;37601878;39369126;43227565;42743577;38008142;38764942;40211399;40298829;40000111;39876615
17;Metalle;47876210;44631939;48230606;47076846;44308709;55063453;50235808;47898114;50557785;51063660;44784210;47608451;45093430;44106334;33931190;43322760;42105005;39578981;39722077;41359886
18;Metallerzeugnisse;3856943;3958671;3770173;3873524;3737687;3597851;3698416;3402543;3273806;3577498;3361193;4052707;3740621;3801865;3911966;3716744;3654838;3425929;3532959;3439626
19;Datenverarbeitungsgeräte, elektr.u.opt.Erzeugnisse;1278328;1292763;1126657;1125646;1062660;961011;1160044;980885;877928;781316;729133;740783;816929;688760;693052;676847;739599;780570;824763;727628
20;Elektrische Ausrüstungen;1392477;1165864;954895;1018282;904841;810981;808217;958129;1007431;799590;759973;925282;907743;793685;715114;781957;755558;715745;713986;720478
21;Maschinen;4078123;4188322;3687876;3479839;3291165;3102807;3230999;3009520;3275266;3110945;3148589;3277716;3305015;3165311;2808469;3061840;2821624;2901307;2875088;2602707
22;Kraftwagen und Kraftwagenteile;4003153;4224601;4089217;4126308;4029561;3825368;3896607;3844527;3971496;4170734;4037453;3882714;3856297;3676327;3343616;3745915;3628519;3672655;3733218;3327383
23;Sonstige Fahrzeuge;876736;908469;811885;671077;663026;646270;660448;658161;634238;615781;597754;719004;528618;469007;548326;722299;600423;631141;682838;625063
24;Möbel und Waren, a.n.g.;1163974;1110127;1068100;1019277;1007946;1036472;1258862;1129323;1150810;1003393;999756;900292;979113;1159020;948319;1105346;1395805;1418387;1409124;1177253
25;Rep.- u.Installationsarb. an Maschinen u. Ausrüst.;170220;156611;153556;166317;180630;171421;188351;157867;157245;159430;155939;172656;161719;358668;334704;366106;359959;363814;363232;393465
26;Energie und Dienstleistungen der Energieversorgung;374910478;376843740;362304958;366865206;356372085;365569854;375587948;379002289;399347162;397355902;397323629;409472338;428693621;412577907;387756799;411838930;415364545;411175307;418944361;400762907
27;Wasser, Dienstleistungen der Wasserversorgung;28500;29290;31766;35128;36975;35591;35174;39108;42320;41150;40570;39925;38053;39890;83331;81508;75689;72724;74476;77404
28;DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung;7249772;7522026;7627324;7939971;8015177;8152347;8331201;7723967;5962908;6931428;6926933;7514351;7453140;7180368;6812577;6769743;6732735;6509892;6343249;6288400
29;Hoch- und Tiefbauarbeiten;6189084;6508763;5983156;5627814;5552338;5324678;5274521;4991286;4812511;4684770;4398651;4669494;4125191;4225530;3423061;3450009;3526628;3527800;3584762;3578991
30;Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten;6017408;6256402;5879237;5941328;5822175;5456535;5616543;5304044;4930918;4794691;4541333;4836761;4275267;4419451;5109516;5245093;5519137;5428350;5640316;5511630
31;Handelsleistungen mit Kfz, Instandh. und Reparatur;2772888;3413200;3109010;3270752;3166527;2876204;3201693;2611639;2191922;2078440;1983143;2241010;1964268;2178577;2245904;2308928;1767797;1786785;1912090;1749530
32;Großhandelsleistungen (oh.Handelsleistungen m.Kfz);8308853;8749883;8275962;8381907;8423512;7924030;8308773;7511328;6777390;6945596;6944437;7286940;6309961;6391978;6092451;6524144;6621897;6534281;6745327;6713180
33;Einzelhandelsleistungen (ohne Handelsleist.m.Kfz);13426061;14502502;13061262;12832448;12389143;11828414;12828888;12628502;11866167;11225961;10440116;10913606;9765701;10335233;9039412;10157461;9698278;9555086;9944200;8957214
34;Landverkehrs- u. Transportleist. in Rohrfernleit.;11662448;11790623;11830650;12271216;13643657;13898604;14302454;15556658;15595512;15657819;15449843;16145118;16503016;16064656;16906425;17295736;17891667;17679639;17850382;17408100
35;Schifffahrtsleistungen;14511871;13212016;14215764;13950161;14393902;5851692;13634709;15684137;14699388;25184281;19650304;19402697;27381280;31139047;24589512;26214641;22233039;25816060;26632928;25671836
36;Luftfahrtleistungen;19792478;20460566;21396912;21953884;23483013;24985203;24196857;23749390;24182581;24812684;28412563;29601807;31477730;31609738;28904135;27685830;27022869;28824482;28420401;27935748
37;Lagereileist., sonst.Unterstützungs-DL f.d.Verkehr;8284045;8373850;8456276;8690752;9558818;9587383;9990064;9097925;9212695;9717698;9496408;10087528;9607109;9611840;8067468;8661084;8694366;8521798;9138548;9284792
38;Post-DL und private Kurier- und Express-DL;3003016;3013115;2955831;3116337;3463305;3467633;3514129;3472535;3426518;3519914;3484506;3672464;3361205;3369742;3296841;3401062;2974682;2872931;3332572;3773324
39;Beherbergungs- und Gastronomiedienstleistungen;4797343;5866931;5151266;4952151;4767873;4482673;5017634;5067698;4449450;4255170;4144719;4557643;3405627;3591296;3592887;3886327;3658462;3637004;3812066;3109857
40;Informations- und Kommunikationsdienstleistungen;4044818;4248510;4188317;4464839;4626340;4612899;4982597;4164807;3981981;4372316;4327866;4444695;4042279;4298246;3293735;3250884;3501390;3414363;3524007;3223968
41;Finanz- und Versicherungsdienstleistungen;2497348;2844221;2384383;2402262;2237137;2104254;2374379;2360462;2144880;1954452;1961339;2193038;1762822;1954940;1752115;1828170;1619295;1659900;1873471;1557761
42;Dienstleistungen d. Grundstücks- u. Wohnungswesens;825570;890705;862888;943194;939289;889170;957941;942136;1022104;1072536;1117415;1300901;1147128;1223181;1068666;1075781;1040167;1063998;1092721;1046684
43;Freiberufliche, wissenschaftliche u. technische DL;7028813;7594485;7484821;8067573;8257745;8163093;8803432;8495710;7897019;7730565;7890569;8653519;8039703;8899979;8490240;8491359;8084622;8068149;8392579;8212812
44;Sonstige wirtschaftliche Dienstleistungen;946202;1033006;978897;1186019;1215743;1017944;1106491;1097432;1121107;1100230;1162392;1055600;1058046;1196619;963172;1034092;1021616;996571;1072340;1319453
45;DL d.öff.Verwaltung,d.Verteidigung u.d.Sozialvers.;10312789;10804890;10313309;10115759;8942821;8458006;8636677;8440456;8063711;7526356;7841496;8762905;7310050;8173732;7467812;7862480;7073731;6790882;6688270;6386812
46;Erziehungs- und Unterrichtsdienstleistungen;5187810;6359104;5592067;5564253;5228887;4767068;5527020;5253808;4466682;4272239;4535152;5135864;4003920;4878803;4219482;4398937;3989058;3966313;4196398;3583083
47;Dienstleistungen des Gesundheits- und Sozialwesens;6338314;7618371;6989456;6707229;6509373;6102952;6963438;7083512;5945845;5718118;5645050;6679983;5447320;6734512;6311859;6980609;6357554;6520822;6778356;6420162
48;Sonstige Dienstleistungen;9904276;10545089;9915394;10391304;10345542;9901890;10648390;8574690;7596181;7350319;7192117;7486950;6388171;7166784;6341148;6493280;5941148;6034689;6026536;5953673
49;Private Haushalte;236177711;251130319;253441152;246255460;237081668;232559237;249558934;242523755;242559183;235345028;230395764;230636063;204798016;223533907;220021918;233566384;215028288;216618070;225489988;205480769
